Customer ID,Name,Location,Contact,Purchase History
1,Rebecca Jackson,Wallport,001-739-453-3942x10470,27
2,Amber Obrien,West Markchester,(632)985-8842,13
3,Christopher Bass,Juliemouth,871-223-6851,7
4,Jose Travis,Amandamouth,(549)365-1370x985,7
5,William Baker,Blankenshipport,+1-861-920-0471x1382,43
6,Anthony Everett,Ellenside,(592)761-7964x05377,28
7,Laura Roberts,Lake Michaelstad,2642317139,23
8,Matthew Foster,Johnberg,001-431-283-9335,28
9,Joshua Cooke,Micheleberg,(584)721-0205,27
10,Diane Evans,East Josephberg,001-568-211-7758x9178,30
11,Amanda Jones,Stephentown,7764617711,47
12,Susan Serrano,East Joshuashire,+1-856-398-4789,4
13,Paul Castaneda,Port Dianaside,001-736-673-6576x6156,44
14,John Whitehead,Stephaniefort,211-716-1528,42
15,Alexander Collins,South Michaelchester,001-304-794-5198x3273,42
16,Tammie Bright,Dannyview,001-636-289-9809,7
17,Keith Jennings,West Jacqueline,555-802-2961x2018,4
18,Michelle Harmon,Chavezburgh,(645)999-1022x901,26
19,James Ferrell,Tuckermouth,(543)881-5614x97840,47
20,John Pierce,North Jamesborough,001-724-345-1076x22683,22
21,Laura Haney,Hensleyton,(707)415-9696x64160,7
22,Michael Evans,Collierstad,861-636-9681,16
23,Gina Moore,Jeffreyburgh,581-388-3552,13
24,Katie Suarez,West James,+1-721-427-7997x995,13
25,Jeffrey Chavez,Jonesmouth,+1-744-690-5814x7700,35
26,Stephanie Ross,Lake Michelleland,+1-998-467-9807x935,29
27,Garrett Lin,South Dalemouth,001-718-720-3778x892,9
28,Cassandra Gaines,Paulmouth,+1-390-451-5186x44925,28
29,Krista Gibson,Kylefurt,(391)848-6528,12
30,Lisa Archer,Andrewport,(635)373-3221,18
31,Joyce Bowen,Lake Matthewberg,+1-962-622-9270x653,30
32,Brent Jordan,Youngbury,573-459-7746x8862,16
33,Victoria Garcia,Brettfort,(881)381-4124x782,5
34,David Smith,Port Shannon,(206)706-8536x153,29
35,Frank Cordova,Port Jennifermouth,(220)347-2779,36
36,Amy Silva,West Jasonberg,+1-298-561-4341,7
37,Nathan Freeman,Fowlermouth,417-698-0893,4
38,Dr. Hannah Patterson,Smithstad,296.821.8518,42
39,Lisa Barnes,Williamsfurt,(740)751-5319x520,35
40,Wayne Morgan,Port Kimberly,772.621.7043x030,1
41,Crystal Robinson,Haysside,940.834.5054x1566,6
42,Evelyn Galvan,Terrifort,001-675-784-1616x928,49
43,Ryan Gonzalez,North Markport,279-362-7570x5964,16
44,Elizabeth Oliver DDS,Coxburgh,7298702135,11
45,Karen Graham,New Ericmouth,(357)219-2856x543,27
46,Michael Lewis,South April,+1-514-347-3947,32
47,Dustin Jordan,Port Charles,(671)455-1884,31
48,Matthew Harrington,Port Michael,713.923.7058,14
49,Sandra Aguilar,New Nicole,446-778-6691,26
50,Judy Baker,South Stevenhaven,(628)492-2680x182,4
51,Matthew Moore,West Sarah,458.641.4384,11
52,Tina Sanders,New Danielleshire,001-322-299-5900,25
53,Stephanie Williams,Debrashire,(490)978-4473x64710,1
54,Jonathan Lawrence,Washingtonborough,992-355-5625x88153,25
55,Madison Poole,Shannonberg,704-569-6325,17
56,Andrew Avila,South Wendy,774.270.1687x339,30
57,Tricia Valencia,West Troyfort,580-716-2456x5060,19
58,Denise Davenport,Charleshaven,784.499.1216x558,28
59,Ethan Adams,New William,700.402.5787x29825,45
60,Timothy Duncan,Ewingport,001-258-788-7947,47
61,Richard Henson,Emilychester,001-240-997-4993,36
62,Melissa Brewer,New Cristina,+1-462-830-9130x756,43
63,Spencer Haynes,South Warren,+1-470-928-3857x865,46
64,Theresa Clark,Amyview,+1-773-934-8434x437,32
65,Denise Jones,Annview,919-686-6524x0415,10
66,Patty Perez,Lewisside,584-221-9933x083,13
67,Yvonne Burns,South Markfort,620-782-6773,19
68,Christopher Parker,Debbieland,+1-293-280-2620x6724,14
